ra,dec,LS_id,z,source
259.247802734375,-62.82054901123047,NGC_6300,0.0036992258157475064,2MRS
182.0250701904297,65.17413330078125,NGC_4125,0.004523129130886942,2MRS
209.0301513671875,5.254740238189697,NGC_5363,0.003799295044306952,2MRS
185.4789581298828,4.473589897155762,MESSIER_061,0.0052236137308030615,2MRS
38.86555099487305,-9.356010437011719,g0235277-092122,0.005170243475571357,2MRS
186.61293029785156,31.223520278930664,NGC_4414,0.0023883189216187687,2MRS
114.0993423461914,-69.53082275390625,NGC_2442,0.0048900496356049095,2MRS
183.4512176513672,14.900469779968262,MESSIER_098,-0.0004736610151813759,2MRS
188.535400390625,2.6538100242614746,NGC_4527,0.0057906726926399196,2MRS
54.62411880493164,-23.027690887451172,g0338297-230139,0.0054571085974417675,2MRS
36.906089782714844,-1.1562800407409668,g0227375-010922,0.0044697588756552374,2MRS
65.00174713134766,-54.937808990478516,NGC_1566,0.005016803991780207,2MRS
13.722829818725586,-37.68437957763672,NGC_0300,0.000480332297085339,2MRS
57.08638000488281,70.13288116455078,UGC_02855,0.004002769142377825,2MRS
76.31022644042969,-37.980751037597656,g0505144-375851,0.003919378118578287,2MRS
226.62205505371094,1.605370044708252,15062920+0136210,0.005437094751729879,2MRS
191.28614807128906,-0.4619100093841553,g1245086-002743,0.005080181169867856,2MRS
184.70677185058594,14.416489601135254,MESSIER_099,0.00802888777141952,2MRS
169.2277374267578,18.051809310913086,NGC_3607,0.0032022153139022597,2MRS
282.2411804199219,-65.1734390258789,g1848579-651024,0.0031555163405745184,2MRS
51.57217025756836,-21.335369110107422,g0326173-212007,0.005236956294610988,2MRS
184.9611053466797,29.614700317382812,NGC_4274,0.003102146085342814,2MRS
332.31768798828125,-47.16666030883789,NGC_7213,0.005837371665967661,2MRS
20.445199966430664,5.256720066070557,NGC_0488,0.0075785762429020145,2MRS
94.6571273803711,78.35701751708984,NGC_2146,0.002978727370119498,2MRS
199.95851135253906,-27.41008949279785,g1319500-272436,0.007148278560096399,2MRS
179.39993286132812,53.37451934814453,MESSIER_109,0.0034957517176766335,2MRS
133.90721130371094,78.22308349609375,NGC_2655,0.004669897332774129,2MRS
137.58396911621094,7.037769794464111,NGC_2775,0.004503115285175053,2MRS
187.8501434326172,25.774980545043945,NGC_4494,0.0044831014394631635,2MRS
167.8790283203125,55.67412185668945,MESSIER_108,0.002331613025435083,2MRS
198.36473083496094,36.593650817871094,NGC_5033,0.0029186858329838306,2MRS
24.174049377441406,15.783459663391113,MESSIER_074,0.002191516105451859,2MRS
67.91472625732422,-54.60226821899414,NGC_1617,0.0035457863319563565,2MRS
137.90626525878906,60.037208557128906,NGC_2768,0.004579835027070628,2MRS
179.58570861816406,-50.97706985473633,g1158206-505838,0.01410642558592985,2MRS
253.1930389404297,-59.216941833496094,NGC_6221,0.0050001257870203,2MRS
23.575979232788086,-29.418489456176758,NGC_0613,0.004940084249884632,2MRS
0.812279999256134,16.14522933959961,00031502+1608443,0.0035324437681484304,2MRS
200.490234375,-36.630210876464844,NGC_5102,0.0015610799655273516,2MRS
178.45428466796875,52.326541900634766,NGC_3953,0.0035090942814845595,2MRS
200.0705108642578,-21.827579498291016,g1320169-214939,0.005533828339337343,2MRS
187.12347412109375,17.084949493408203,NGC_4450,0.0065178424201718915,2MRS
187.25010681152344,13.978560447692871,NGC_4459,0.00403612555189764,2MRS
21.198829650878906,9.538840293884277,NGC_0524,0.007935489824764037,2MRS
71.42729949951172,-59.24740982055664,NGC_1672,0.004439738107087404,2MRS
151.45065307617188,-67.37798309326172,NGC_3136,0.005713952950744345,2MRS
309.3087158203125,66.10562896728516,NGC_6951,0.004749952715621685,2MRS
65.49508666992188,-56.97475051879883,NGC_1574,0.003472402231012763,2MRS
359.4576110839844,-32.59103012084961,NGC_7793,0.0007571904960998051,2MRS
180.47154235839844,-18.877199172973633,ARP_244,0.005687267823128493,2MRS
